Postcode,Borough,Neighbourhood
M1B,Scarborough,"Malvern, Rouge"
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
M1E,Scarborough,"Guildwood, West Hill, Morningside"
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
M1L,Scarborough,"Clairlea, Oakridge, Golden Mile"
M1M,Scarborough,"Scarborough Village West, Cliffside, Cliffcrest"
M1N,Scarborough,"Birch Cliff, Cliffside West"
M1P,Scarborough,"Wexford Heights, Scarborough Town Centre, Dorset Park"
M1R,Scarborough,"Maryvale, Wexford"
M1S,Scarborough,Agincourt
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
M1V,Scarborough,"Steeles East, L'Amoreaux East, Milliken, Agincourt North"
M1W,Scarborough,L'Amoreaux West
M1X,Scarborough,Upper Rouge
M2H,North York,Hillcrest Village
M2J,North York,"Fairview, Henry Farm, Oriole"
M2K,North York,Bayview Village
M2L,North York,"York Mills, Silver Hills"
M2M,North York,"Willowdale, Newtonbrook"
M2N,North York,Willowdale South
M2P,North York,York Mills West
M2R,North York,Willowdale West
M3A,North York,Parkwoods
M3B,North York,Don Mills North
M3C,North York,"Flemingdon Park, Don Mills South"
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
M3J,North York,"Northwood Park, York University"
M3K,North York,"CFB Toronto, Downsview East"
M3L,North York,Downsview West
M3M,North York,Downsview Central
M3N,North York,Downsview Northwest
M4A,North York,Victoria Village
M4B,East York,"Woodbine Gardens, Parkview Hill"
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4K,East Toronto,"Riverdale, The Danforth West"
M4L,East Toronto,"The Beaches West, India Bazaar"
M4M,East Toronto,Studio District
M4N,Central Toronto,Lawrence Park
M4P,Central Toronto,Davisville North
M4R,Central Toronto,North Toronto West
M4S,Central Toronto,Davisville
M4T,Central Toronto,"Summerhill East, Moore Park"
M4V,Central Toronto,"Forest Hill SE, Deer Park, Summerhill West, South Hill, Rathnelly"
M4W,Downtown Toronto,Rosedale
M4X,Downtown Toronto,"Cabbagetown, St. James Town"
M4Y,Downtown Toronto,Church and Wellesley
M5A,Downtown Toronto,"Harbourfront, Regent Park"
M5B,Downtown Toronto,"Ryerson, Garden District"
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M5H,Downtown Toronto,"Richmond, Adelaide, King"
M5J,Downtown Toronto,"Union Station, Toronto Islands, Harbourfront East"
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M5M,North York,"Lawrence Manor East, Bedford Park"
M5N,Central Toronto,Roselawn
M5P,Central Toronto,"Forest Hill North, Forest Hill West"
M5R,Central Toronto,"North Midtown, Yorkville, The Annex"
M5S,Downtown Toronto,"Harbord, University of Toronto"
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M5V,Downtown Toronto,"CN Tower, Harbourfront West, King and Spadina, Railway Lands, South Niagara, Island airport, Bathurst Quay"
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M5X,Downtown Toronto,"Underground city, First Canadian Place"
M6A,North York,"Lawrence Heights, Lawrence Manor"
M6B,North York,Glencairn
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M6G,Downtown Toronto,Christie
M6H,West Toronto,"Dovercourt Village, Dufferin"
M6J,West Toronto,"Little Portugal, Trinity"
M6K,West Toronto,"Exhibition Place, Brockton, Parkdale Village"
M6L,North York,"Upwood Park, Downsview, North Park"
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
M6N,York,"Runnymede, The Junction North"
M6P,West Toronto,"High Park, The Junction South"
M6R,West Toronto,"Roncesvalles, Parkdale"
M6S,West Toronto,"Swansea, Runnymede"
M7A,Queen's Park,Queen's Park
M7R,Mississauga,Canada Post Gateway Processing Centre
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M8V,Etobicoke,"Mimico South, Humber Bay Shores, New Toronto"
M8W,Etobicoke,"Long Branch, Alderwood"
M8X,Etobicoke,"Old Mill North, The Kingsway, Montgomery Road"
M8Y,Etobicoke,"Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea, King's Mill Park, Humber Bay"
M8Z,Etobicoke,"Royal York South West, South of Bloor, Kingsway Park South West, Mimico NW, The Queensway West"
M9A,Etobicoke,Islington Avenue
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9C,Etobicoke,"Bloordale Gardens, Old Burnhamthorpe, Markland Wood, Eringate"
M9L,North York,Humber Summit
M9M,North York,"Humberlea, Emery"
M9N,York,Weston
M9P,Etobicoke,Westmount
M9R,Etobicoke,"Richview Gardens, Martin Grove Gardens, St. Phillips, Kingsview Village"
M9V,Etobicoke,"Jamestown, Albion Gardens, Beaumond Heights, Humbergate, Mount Olive, Silverstone, South Steeles, Thistletown"
M9W,Etobicoke,Northwest
